lon,lat,weather_id,weather_main,weather_description,weather_icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,clouds_all,sys_type,sys_id,city,country,sunrise,sunset,record_time,city_id,cod
19.8369,45.2517,800,Clear,clear sky,01n,stations,77.97,76.87,77.97,78.8,1007,30,1007,993,10000,3.21,94,0,2.0,2031823.0,Novi Sad,RS,2024-08-13 07:39:47+00:00,2024-08-13 21:51:22+00:00,2024-08-14 01:13:22+00:00,3194360,200
21.9033,43.3247,500,Rain,light rain,10n,stations,84.18,83.32,74.66,84.18,1008,39,1008,961,10000,1.54,100,0,1.0,7031.0,Niš,RS,2024-08-13 07:35:44+00:00,2024-08-13 21:38:53+00:00,2024-08-14 01:13:18+00:00,787657,200
17.1067,48.1482,800,Clear,clear sky,01n,stations,78.6,78.94,77.63,80.26,1010,59,1010,989,10000,2.06,30,0,2.0,2006545.0,Bratislava,SK,2024-08-13 07:43:44+00:00,2024-08-13 22:09:15+00:00,2024-08-14 01:10:32+00:00,3060972,200
21.3333,48.6667,800,Clear,clear sky,01n,stations,72.09,71.49,67.42,72.09,1014,53,1014,975,10000,3.6,20,0,1.0,7049.0,Kosice,SK,2024-08-13 07:25:28+00:00,2024-08-13 21:53:43+00:00,2024-08-14 01:10:16+00:00,865084,200
18.0845,48.3076,801,Clouds,few clouds,02n,stations,81.64,82.67,75.34,81.64,1010,52,1010,991,10000,4.13,86,18,2.0,2003682.0,Nitra,SK,2024-08-13 07:39:24+00:00,2024-08-13 22:05:46+00:00,2024-08-14 01:10:32+00:00,3058531,200
14.5051,46.0511,801,Clouds,few clouds,02n,stations,73.53,74.57,70.86,76.06,1011,85,1011,962,10000,1.03,0,20,2.0,2003318.0,Ljubljana,SI,2024-08-13 07:59:17+00:00,2024-08-13 22:14:31+00:00,2024-08-14 01:09:36+00:00,3196359,200
15.6467,46.5547,501,Rain,moderate rain,10n,stations,74.34,75.47,72.28,76.89,1010,85,1010,960,10000,0.0,0,0,2.0,18640.0,Maribor,SI,2024-08-13 07:53:31+00:00,2024-08-13 22:11:09+00:00,2024-08-14 01:13:31+00:00,3195506,200
15.2604,46.2309,801,Clouds,few clouds,02n,stations,74.03,75.13,72.63,75.7,1011,85,1011,964,10000,1.55,311,14,2.0,2010817.0,Celje,SI,2024-08-13 07:55:50+00:00,2024-08-13 22:11:55+00:00,2024-08-14 01:09:24+00:00,3202781,200
159.95,-9.4333,804,Clouds,overcast clouds,04d,stations,79.57,79.57,79.57,79.57,1013,81,1013,983,10000,4.17,112,99,,,Honiara,SB,2024-08-14 08:31:17+00:00,2024-08-14 20:18:44+00:00,2024-08-14 10:13:34+00:00,2108502,200
156.8419,-8.103,500,Rain,light rain,10d,stations,81.77,88.0,81.77,81.77,1011,79,1011,1010,10000,3.69,97,100,,,Gizo Government Station,SB,2024-08-14 08:42:20+00:00,2024-08-14 20:32:33+00:00,2024-08-14 10:13:35+00:00,2108857,200
